k Value,Average,StdDev,25th Percentile,75th Percentile
1,96.2962962962963,1.60375074774896,95.1388888888889,97.2222222222222
2,95.3703703703704,3.20750149549792,93.0555555555556,97.2222222222222
3,94.4444444444444,2.77777777777778,92.3611111111111,96.5277777777778
4,94.4444444444444,2.77777777777778,92.3611111111111,96.5277777777778
5,92.5925925925926,4.24312564347763,89.5833333333333,95.8333333333333
6,92.5925925925926,4.24312564347763,89.5833333333333,95.8333333333333
7,92.5925925925926,4.24312564347763,89.5833333333333,95.8333333333333
8,94.4444444444444,4.81125224324688,90.9722222222222,97.2222222222222
9,98.1481481481482,1.60375074774896,97.2222222222222,99.3055555555556
10,97.2222222222222,2.77777777777778,95.1388888888889,99.3055555555556
11,97.2222222222222,2.77777777777778,95.1388888888889,99.3055555555556
13,98.1481481481482,1.60375074774896,97.2222222222222,99.3055555555556
15,98.1481481481482,1.60375074774896,97.2222222222222,99.3055555555556
17,98.1481481481482,1.60375074774896,97.2222222222222,99.3055555555556
19,98.1481481481482,1.60375074774896,97.2222222222222,99.3055555555556
21,98.1481481481482,1.60375074774896,97.2222222222222,99.3055555555556
30,98.1481481481482,1.60375074774896,97.2222222222222,99.3055555555556
40,97.2222222222222,2.77777777777778,95.1388888888889,99.3055555555556
50,97.2222222222222,2.77777777777778,95.1388888888889,99.3055555555556
