Row,1,2,3,4,5,6,7,8,9,10,11,13,15,17,19,21,30,40,50
1,0.909090909090909,0.909090909090909,0.909090909090909,0.909090909090909,0.909090909090909,0.909090909090909,0.909090909090909,0.909090909090909,0.909090909090909,0.909090909090909,0.909090909090909,0.909090909090909,0.909090909090909,0.909090909090909,0.909090909090909,0.909090909090909,0.909090909090909,0.909090909090909,0.909090909090909
2,1,1,1,1,0.933333333333333,0.933333333333333,0.933333333333333,1,1,1,1,1,1,1,1,1,1,1,1
3,0.9,0.9,0.818181818181818,0.888888888888889,0.8,0.8,0.8,1,1,1,1,1,1,1,1,1,1,1,1
