Row,15,16,17,18,19,20,21,22,23,24,25
1,0,97.2222222222222,97.2222222222222,0,97.2222222222222,97.2222222222222,0,97.2222222222222,97.2222222222222,0,97.2222222222222
2,0,94.4444444444444,97.2222222222222,0,97.2222222222222,97.2222222222222,0,97.2222222222222,97.2222222222222,0,97.2222222222222
3,0,100,100,0,100,100,0,100,100,0,100
