Row,1,2,3,4,5,10,15,20,30,40,50
1,97.2222222222222,97.2222222222222,0,97.2222222222222,97.2222222222222,97.2222222222222,0,97.2222222222222,0,97.2222222222222,97.2222222222222
2,94.4444444444444,91.6666666666667,0,91.6666666666667,88.8888888888889,94.4444444444444,0,97.2222222222222,0,94.4444444444444,94.4444444444444
3,97.2222222222222,97.2222222222222,0,94.4444444444444,91.6666666666667,100,0,100,0,100,100
