Row,1,2,3,4,5,6,7,8,9,10,11,13,15,17,19,21,30,40,50
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,0.882352941176471,0.823529411764706,0.823529411764706,0.823529411764706,0.823529411764706,0.823529411764706,0.823529411764706,0.764705882352941,0.941176470588235,0.882352941176471,0.882352941176471,0.941176470588235,0.941176470588235,0.941176470588235,0.941176470588235,0.941176470588235,0.941176470588235,0.882352941176471,0.882352941176471
3,1,1,1,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,1,1,1,1,1,1,1,1,1,1,1
