Row,1,2,3,4,5,6,7,8,9,10,11,13,15,17,19,21,30,40,50
1,97.2222222222222,97.2222222222222,97.2222222222222,97.2222222222222,97.2222222222222,97.2222222222222,97.2222222222222,97.2222222222222,97.2222222222222,97.2222222222222,97.2222222222222,97.2222222222222,97.2222222222222,97.2222222222222,97.2222222222222,97.2222222222222,97.2222222222222,97.2222222222222,97.2222222222222
2,94.4444444444444,91.6666666666667,91.6666666666667,91.6666666666667,88.8888888888889,88.8888888888889,88.8888888888889,88.8888888888889,97.2222222222222,94.4444444444444,94.4444444444444,97.2222222222222,97.2222222222222,97.2222222222222,97.2222222222222,97.2222222222222,97.2222222222222,94.4444444444444,94.4444444444444
3,97.2222222222222,97.2222222222222,94.4444444444444,94.4444444444444,91.6666666666667,91.6666666666667,91.6666666666667,97.2222222222222,100,100,100,100,100,100,100,100,100,100,100
